transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size
1,2,2950,25-02-2017,False,Approved,Solex,Standard,medium,medium
2,3,3120,21-05-2017,True,Approved,Trek Bicycles,Standard,medium,large
3,37,402,16-10-2017,False,Approved,OHM Cycles,Standard,low,medium
4,88,3135,31-08-2017,False,Approved,Norco Bicycles,Standard,medium,medium
5,78,787,01-10-2017,True,Approved,Giant Bicycles,Standard,medium,large
6,25,2339,08-03-2017,True,Approved,Giant Bicycles,Road,medium,medium
7,22,1542,21-04-2017,True,Approved,WeareA2B,Standard,medium,medium
8,15,2459,15-07-2017,False,Approved,WeareA2B,Standard,medium,medium
9,67,1305,10-08-2017,False,Approved,Solex,Standard,medium,large
10,12,3262,30-08-2017,True,Approved,WeareA2B,Standard,medium,medium
11,5,1986,17-01-2017,False,Approved,Trek Bicycles,Mountain,low,medium
12,61,2783,05-01-2017,True,Approved,OHM Cycles,Standard,low,medium
13,35,1243,26-02-2017,True,Approved,Trek Bicycles,Standard,low,medium
14,16,2717,10-09-2017,False,Approved,Norco Bicycles,Standard,high,small
15,12,247,11-06-2017,False,Approved,Giant Bicycles,Standard,medium,large
16,3,2961,10-10-2017,False,Approved,Trek Bicycles,Standard,medium,large
17,79,2426,03-04-2017,False,Approved,Norco Bicycles,Standard,medium,medium
18,33,1842,02-06-2017,False,Approved,Giant Bicycles,Standard,medium,small
19,54,2268,06-04-2017,True,Approved,WeareA2B,Standard,medium,medium
20,25,3002,28-01-2017,True,Approved,Giant Bicycles,Road,medium,medium
21,27,1582,09-10-2017,False,Approved,Trek Bicycles,Standard,medium,medium
22,37,595,29-06-2017,True,Approved,OHM Cycles,Standard,low,medium
23,37,2001,08-04-2017,True,Approved,OHM Cycles,Standard,low,medium
24,82,515,18-10-2017,False,Approved,Giant Bicycles,Road,medium,medium
25,89,2822,11-06-2017,False,Approved,WeareA2B,Touring,medium,large
26,64,2596,10-01-2017,False,Approved,Trek Bicycles,Standard,medium,large
27,64,2666,11-04-2017,True,Approved,Trek Bicycles,Standard,medium,large
28,19,76,23-12-2017,False,Approved,Trek Bicycles,Mountain,low,medium
29,72,3368,13-10-2017,True,Approved,Norco Bicycles,Standard,medium,medium
30,91,1173,15-03-2017,False,Approved,WeareA2B,Standard,low,medium
31,88,2810,05-09-2017,True,Approved,Norco Bicycles,Standard,medium,medium
32,1,3214,18-02-2017,False,Approved,Giant Bicycles,Standard,medium,medium
33,25,1272,20-03-2017,False,Approved,Giant Bicycles,Road,medium,medium
